file,experiment,loss,fn_weight,alpha,gamma,val_cost,test_cost,val_auc,test_auc,test_precision,test_recall,test_f1,test_pr_auc,t1,t2,t3,t4,best_iteration,size_kb
exp1_log_loss.pkl,exp1_log_loss,log_loss,-,-,-,43472.0,46393.0,0.6326876422666826,0.6340103644506238,?,?,?,?,0.29000000000000004,0.31,0.33,0.35000000000000003,8,61.0
exp2_focal_loss.pkl,exp2_focal_loss,focal_loss,-,-,0.617490983823992,43987.0,46345.0,0.6285536719779562,0.6326997268128453,?,?,?,?,0.23,0.25,0.27,0.29000000000000004,215,1869.4
exp3_cost_aware_focal_fn1_0.pkl,exp3_cost_aware_focal,cost_aware_focal_loss,1.0,0.9763,0.5243872675100267,48916.0,49099.0,0.6836086318437762,0.6646922120116169,0.028146679881070367,1.0,0.05475226527858107,0.06062233476134012,0.01,0.47000000000000003,0.49,0.51,3,45.2
exp3_cost_aware_focal_fn1_0_old.pkl,exp3_cost_aware_focal,cost_aware_focal_loss,1.0,0.9763,0.5243872675100268,48916.0,49099.0,0.6836086318437762,0.6646922120116169,?,?,?,?,0.01,0.47000000000000003,0.49,0.51,3,45.1
exp3_sensitivity_fn0_25_fn0_25.pkl,exp3_sensitivity_fn0_25,cost_aware_focal_loss,0.25,0.9115,2.4437525838895207,14350.0,14025.0,0.32511755720618185,0.37252558795563506,?,?,?,?,0.5700000000000001,0.59,0.61,0.63,1,14.3
exp3_sensitivity_fn0_5_fn0_5.pkl,exp3_sensitivity_fn0_5,cost_aware_focal_loss,0.5,0.9537,1.870761961280168,28700.0,28050.0,0.5,0.5,?,?,?,?,0.01,0.03,0.05,0.06999999999999999,150,223.7
exp3_sensitivity_fn0_75_fn0_75.pkl,exp3_sensitivity_fn0_75,cost_aware_focal_loss,0.75,0.9686,2.1854305348131313,43050.0,42075.0,0.5,0.5,?,?,?,?,0.01,0.03,0.05,0.06999999999999999,800,411.4
exp3_sensitivity_fn1_0_fn1_0.pkl,exp3_sensitivity_fn1_0,cost_aware_focal_loss,1.0,0.9763,0.5305095126273512,48892.0,49032.0,0.6947922906433449,0.7103419004748457,?,?,?,?,0.01,0.47000000000000003,0.49,0.51,13,128.8
exp3_sensitivity_fn1_5_fn1_5.pkl,exp3_sensitivity_fn1_5,cost_aware_focal_loss,1.5,0.9841,0.5186562114677046,49278.0,49695.0,0.6592855217443392,0.6707225814606177,?,?,?,?,0.01,0.03,0.05,0.49,5,69.3
exp3_sensitivity_fn2_0_fn2_0.pkl,exp3_sensitivity_fn2_0,cost_aware_focal_loss,2.0,0.988,0.5186562114677046,49391.0,49449.0,0.6845221337007308,0.6941689911034636,?,?,?,?,0.01,0.03,0.05,0.49,5,69.2
exp3_sensitivity_fn3_0_fn3_0.pkl,exp3_sensitivity_fn3_0,cost_aware_focal_loss,3.0,0.992,0.5186562114677046,49382.0,50092.0,0.6684624715466635,0.6792629117556654,?,?,?,?,0.01,0.03,0.05,0.49,5,64.5
exp4_cost_aware_fn05.pkl,exp4_cost_aware_fn05,cost_aware_focal_loss,0.5,0.9537,1.870761961280168,28700.0,28050.0,0.5,0.5,0.0,0.0,0.0,0.028146679881070367,0.01,0.03,0.05,0.06999999999999999,150,223.8
pipeline_state.pkl,?,?,-,-,-,?,?,?,?,?,?,?,?,?,?,?,?,?,7.2
