vehicle_id,Spec_0,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7
0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0
2,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
3,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
4,Cat0,Cat0,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
5,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
8,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
13,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
14,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
15,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
17,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
22,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
25,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat0
26,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
27,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
28,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
29,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
30,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
31,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
32,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
33,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat2,Cat1
35,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
36,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
37,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
38,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
39,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
40,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat1,Cat0
41,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
42,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
43,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
44,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
47,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
