vehicle_id,length_of_study_time_step,in_study_repair
0,510.0,0
2,281.8,0
3,293.4,0
4,210.0,0
5,360.4,0
8,288.6,0
13,155.4,0
14,433.6,0
15,291.2,0
17,436.8,0
22,190.8,1
25,320.2,0
26,281.4,0
27,354.6,1
28,239.4,0
29,425.2,1
30,496.6,0
31,487.8,0
32,152.6,0
33,501.2,0
35,167.2,0
36,484.4,0
37,460.8,0
38,479.6,0
39,436.8,0
40,428.4,0
41,151.6,0
42,482.2,0
43,285.4,0
44,157.2,0
47,153.0,0
48,154.4,0
49,504.2,0
50,504.6,0
52,235.0,1
53,128.2,0
54,393.6,0
55,167.4,0
56,396.2,0
57,436.2,0
61,293.0,1
63,174.6,0
64,142.6,0
65,449.4,0
67,330.8,1
68,509.6,0
69,215.8,0
70,467.6,0
71,491.6,0
72,141.2,0
73,407.6,0
75,285.0,1
76,298.4,0
78,310.6,0
79,151.6,1
80,288.4,0
81,262.8,0
82,426.0,0
84,311.6,1
86,202.6,0
87,190.8,1
88,468.2,0
89,502.6,0
90,179.0,0
91,436.8,0
92,144.4,0
93,193.8,0
94,424.6,0
95,338.8,1
96,180.4,0
99,389.4,0
100,294.0,0
102,356.0,0
103,405.6,0
105,497.0,0
106,505.0,0
108,442.0,0
109,495.6,0
110,413.0,0
111,469.4,0
112,492.4,0
113,282.6,0
114,291.2,1
115,125.6,0
116,357.0,1
118,263.4,0
121,156.4,0
122,418.2,0
123,491.4,0
124,495.4,0
125,211.6,0
126,476.6,0
128,136.2,0
130,497.0,0
131,305.8,0
132,208.4,0
134,351.8,1
135,490.0,0
136,303.4,0
138,254.4,0
139,200.4,1
140,454.4,0
141,469.8,0
142,381.0,0
143,200.2,0
144,213.6,0
146,213.6,0
147,502.2,0
148,272.0,0
149,352.4,0
150,434.6,0
151,390.8,0
152,504.8,0
154,500.0,0
155,207.2,0
156,206.6,0
159,504.8,0
160,288.4,0
161,454.0,1
162,494.2,0
163,488.8,0
164,156.0,0
165,138.4,0
167,477.4,0
168,434.2,0
169,299.0,0
171,429.4,0
172,467.0,0
175,488.2,0
177,161.0,0
178,413.8,0
179,483.4,0
185,323.4,1
186,100.0,1
187,287.0,0
188,494.8,0
190,170.4,0
191,302.6,0
193,411.6,0
194,434.8,0
195,422.0,0
197,390.6,1
199,502.2,0
200,504.8,0
202,478.8,0
203,483.4,0
204,208.6,0
205,434.2,0
206,420.4,1
207,496.4,0
208,228.4,0
209,490.2,0
211,470.8,0
213,383.0,0
215,160.4,0
216,495.4,0
217,478.2,0
218,295.0,0
219,497.8,0
222,483.4,0
223,148.8,0
226,147.4,0
228,482.0,1
229,359.2,0
231,181.4,0
233,492.0,0
234,454.6,1
236,401.0,0
237,205.8,1
240,322.8,0
241,418.6,1
242,439.8,0
243,469.6,0
244,475.6,0
245,279.0,0
246,152.4,1
247,475.8,0
249,450.4,0
252,201.8,0
253,357.0,0
254,488.8,0
255,480.2,1
257,464.8,0
258,437.8,0
259,283.6,0
260,189.8,0
261,474.6,0
262,497.6,0
263,197.8,0
267,216.8,0
269,479.2,1
270,285.8,0
271,395.0,0
272,256.2,0
273,347.6,1
274,423.0,0
275,472.6,0
276,487.2,0
277,205.8,0
278,491.6,0
279,483.0,0
280,202.2,0
281,269.2,0
282,492.6,0
284,474.0,0
287,123.2,0
288,492.6,0
289,474.0,0
290,488.4,0
291,436.4,0
292,454.6,0
293,491.2,0
294,488.4,0
295,424.0,0
296,135.6,0
297,358.4,0
298,375.0,0
300,302.4,1
301,364.8,0
304,401.6,0
305,451.0,0
306,492.0,0
308,493.2,0
310,384.4,1
311,494.4,0
312,346.8,0
313,475.6,0
314,173.8,0
316,494.8,0
318,284.2,0
319,217.4,0
321,489.2,0
322,485.8,0
323,490.2,0
324,436.4,0
325,293.4,0
326,286.8,0
327,292.0,0
328,134.4,0
329,466.6,0
332,254.8,0
334,359.4,0
335,275.4,0
336,323.2,1
337,138.4,0
338,487.4,0
341,478.0,0
342,291.8,0
343,361.2,0
346,351.8,1
347,361.2,0
348,218.0,0
